YEAR,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
TOTAL,52300,53613,50147,49403,45924,45884,46546,46945,42228,43537,43409,46467,45298,47717,46077,41859,41324,43203
IL RESIDENTS,48529,49457,46121,44815,41509,40754,41523,42655,38700,40023,38409,40412,39291,42703,41307,38622,37922,39849
OUT OF STATE,3575,3859,3916,4517,4294,4852,4488,4207,3497,3400,3317,3940,4042,3903,3624,3050,3139,3138
STATE OF RESIDENCY UNKNOWN,196,297,110,71,121,278,535,83,31,114,1683,2115,1965,1111,1146,187,263,216
MARRIED (IL RESIDENT),8307,8643,7729,7084,6880,6497,7204,7138,6599,6727,6341,6189,5741,5074,4905,4351,4538,4800
UNMARRIED (IL RESIDENT),37760,39399,37192,36288,32485,32735,33323,34543,31129,32771,31342,33473,32794,35997,35035,32492,32596,34599
MARITAL STATUS UNKNOWN,2462,1415,1200,1443,2144,1522,996,974,972,525,726,750,756,1632,1367,1779,788,450
Age 0-14,466,434,345,354,307,295,298,281,287,308,237,282,257,299,257,229,185,218
Age 15-17,4387,4380,4224,3794,3340,3267,3063,2902,2820,2942,2798,2875,2827,2995,2734,2496,2174,1995
Age 18-19,5841,5822,5397,5055,4783,4755,4523,4477,4042,4258,3874,3959,4054,4383,4221,3863,3528,3442
Age 20-24,15781,15894,14660,14401,13253,13177,13314,13714,12063,12430,11753,12376,11799,13130,12664,11891,11867,12453
Age 25-29,10516,11077,10941,10591,9770,9552,9388,9854,8969,9235,9103,9771,9481,10392,9901,9222,9099,9819
Age 30-34,6495,6485,5886,5969,5569,5344,6040,6367,5931,6056,5810,5946,5874,6245,6293,5924,6143,6630
Age 35-39,3703,3781,3359,3348,3210,3117,3393,3520,3173,3299,3400,3678,3593,3815,3781,3407,3390,3655
Age 40-44,1045,1158,985,1010,1016,1008,1167,1259,1167,1254,1178,1207,1103,1154,1230,1192,1232,1355
Age 45 and Over,≤50,≤50,≤50,62,65,≤50,≤50,≤50,≤50,≤50,≤50,≤50,51,≤50,103,98,63,85
Age Not Reported,≤50,≤50,324,231,196,≤50,≤50,≤50,≤50,≤50,≤50,≤50,192,≤50,123,300,241,197
