seq,age
1,52
2,62
3,31
4,47
5,61
6,30
7,57
8,20
9,18
10,34
11,63
12,43
13,22
14,65
15,28
16,53
17,36
18,47
19,18
20,49
21,20
22,40
23,52
24,18
25,64
26,50
27,36
28,32
29,64
30,61
31,59
32,23
33,43
34,44
35,28
36,41
37,44
38,20
39,31
40,23
41,26
42,51
43,28
44,45
45,60
46,42
47,53
48,40
49,18
50,45
51,21
52,40
53,36
54,43
55,45
56,40
57,36
58,44
59,42
60,23
61,19
62,52
63,64
64,41
65,39
66,46
67,29
68,19
69,54
70,44
71,64
72,65
73,19
74,35
75,30
76,34
77,64
78,34
79,30
80,24
81,27
82,22
83,60
84,58
85,48
86,56
87,50
88,45
89,26
90,33
91,29
92,44
93,64
94,30
95,32
96,59
97,35
98,19
99,19
100,20
101,61
102,23
103,56
104,36
105,45
106,47
107,35
108,42
109,37
110,33
111,29
112,63
113,40
114,20
115,48
116,51
117,35
118,37
119,32
120,22
121,63
122,41
123,46
124,22
125,44
126,60
127,51
128,41
129,53
130,45
131,51
132,23
133,41
134,32
135,44
136,21
137,42
138,20
139,38
140,20
141,23
142,53
143,20
144,47
145,38
146,38
147,26
148,52
149,28
150,41
151,42
152,27
153,34
154,60
155,38
156,30
157,30
158,26
159,20
160,26
161,59
162,30
163,22
164,63
165,64
166,60
167,26
168,65
169,43
170,60
171,46
172,57
173,60
174,34
175,55
176,29
177,59
178,29
179,37
180,23
181,45
182,49
183,40
184,62
185,63
186,36
187,30
188,49
189,48
190,49
191,42
192,62
193,19
194,21
195,62
196,45
197,65
198,34
199,20
200,40
201,48
202,41
203,54
204,33
205,22
206,26
207,45
208,58
209,44
210,55
211,39
212,38
213,42
214,41
215,31
216,48
217,26
218,64
219,58
220,58
221,25
222,37
223,51
224,33
225,62
226,57
227,44
228,18
229,30
230,57
231,35
232,57
233,38
234,19
235,20
236,26
237,40
238,30
239,46
240,26
241,24
242,34
243,35
244,41
245,56
246,26
247,32
248,62
249,27
250,22
251,43
252,61
253,21
254,63
255,48
256,61
257,47
258,36
259,20
260,57
261,37
262,31
263,52
264,20
265,23
266,61
267,32
268,41
269,28
270,38
271,31
272,56
273,50
274,57
275,52
276,22
277,44
278,27
279,60
280,33
281,49
282,58
283,59
284,62
285,35
286,21
287,54
288,34
289,47
290,31
291,25
292,32
293,41
294,32
295,31
296,51
297,34
298,34
299,32
300,24
301,54
302,42
303,62
304,52
305,35
306,49
307,57
308,41
309,27
310,41
311,54
312,28
313,40
314,44
315,18
316,55
317,56
318,65
319,41
320,24
321,55
322,56
323,20
324,48
325,32
326,29
327,39
328,18
329,34
330,52
331,47
332,19
333,56
334,19
335,35
336,37
337,31
338,54
339,43
340,23
341,56
342,18
343,32
344,44
345,51
346,41
347,43
348,30
349,32
350,52
351,35
352,55
353,47
354,33
355,38
356,47
357,25
358,41
359,39
360,52
361,53
362,33
363,44
364,64
365,42
366,59
367,62
368,34
369,40
370,50
371,42
372,39
373,45
374,23
375,23
376,48
377,57
378,62
379,22
380,22
381,23
382,23
383,52
384,44
385,55
386,20
387,49
388,18
389,26
390,32
391,62
392,63
393,32
394,36
395,60
396,36
397,30
398,56
399,43
400,33
401,47
402,38
403,23
404,31
405,42
406,24
407,58
408,52
409,59
410,36
411,39
412,25
413,20
414,38
415,34
416,28
417,36
418,50
419,33
420,42
421,33
422,49
423,33
424,40
425,59
426,43
427,31
428,34
429,50
430,64
431,28
432,24
433,46
434,62
435,57
436,36
437,49
438,47
439,49
440,42
441,52
442,35
443,55
444,44
445,52
446,33
447,28
448,54
449,40
450,45
451,65
452,58
453,42
454,33
455,44
456,48
457,55
458,18
459,47
460,23
461,56
462,19
463,30
464,63
465,46
466,20
467,53
468,29
469,25
470,44
471,26
472,46
473,64
474,36
475,35
476,33
477,42
478,27
479,64
480,64
481,36
482,27
483,29
484,20
485,50
486,57
487,41
488,25
489,18
490,28
491,50
492,65
493,48
494,24
495,35
496,43
497,45
498,32
499,26
500,45
501,58
502,19
503,48
504,47
505,43
506,58
507,23
508,44
509,59
510,52
511,20
512,47
513,39
514,54
515,33
516,49
517,41
518,61
519,42
520,59
521,28
522,45
523,19
524,25
525,29
526,32
527,58
528,29
529,51
530,48
531,30
532,18
533,20
534,20
535,47
536,34
537,34
538,21
539,63
540,46
541,59
542,29
543,30
544,47
545,18
546,25
547,54
548,63
549,51
550,64
551,49
552,62
553,25
554,58
555,54
556,64
557,44
558,59
559,58
560,25
561,28
562,33
563,37
564,39
565,64
566,24
567,45
568,57
569,28
570,27
571,33
572,20
573,46
574,51
575,41
576,53
577,29
578,49
579,60
580,31
581,55
582,53
583,62
584,37
585,30
586,62
587,35
588,26
589,41
590,55
591,26
592,54
593,36
594,64
595,62
596,32
597,65
598,28
599,30
